,storyID,url,title,country,dialect,speaker,utterance
21,good-0,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Presentador]: ,Ese país europeo superó a China en el número de muertos. Madrid y Cataluña son las regiones más afectadas. 
22,good-0,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Periodista]:, Con los hospitales colapsados los expertos en salud pública mantienen la esperanza de que el pico llegue en los próximos días. 
24,good-0,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Periodista]:,"Pero antes de contar cómo fue ese mes infame de marzo, hay que retroceder un poco en el tiempo. No tanto, la verdad, porque una de las cosas que caracteriza esta pandemia es lo rápido que ha sucedido todo. ¿No lo sienten así? En un abrir y cerrar de ojos, el mundo cambió. Seguramente los médicos y especialistas lo ven diferente, pero para muchos de nosotros, digamos que fue relámpago. "
30,good-0,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Periodista]: ,"No podemos hablar de, qué sé yo, de virus terroríficos como pueda ser el ébola. No. Estamos hablando de un tipo de gripe del que se curan la gran mayoría de las personas que se han infectado."
34,good-0,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Fernando Simón]: ,Ahora mismo no hay información que nos indique que tengamos que suspender ningún evento. Ahora mismo no estamos en esa situación.
37,good-0,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Periodista]: ,"Las personas que no tengan síntomas, aunque hayan viajado a una zona de riesgo, pueden hacer una vida completamente normal. No tienen que tomar ninguna medida excepcional, simplemente observarse."
40,good-0,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"Aunque me cueste, tengo que admitir que yo era de las personas que pensaba, cuando la cosa apenas empezaba a llegar a… a Italia, pensaba que, efectivamente, las estadísticas decían que la gripe mataba a muchísimas más personas de las que estaba matando el coronavirus y que probablemente esto pasaría."
42,good-0,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"Pero mientras muchos se convencían de que el verdadero enemigo era el pánico, el virus ya se estaba propagando en España. Gaby recuerda haber hablado con un amigo editor por esos días para negociar un pago o algo así, y cuando el tipo le mencionó el coronavirus y que estaba algo preocupado, a Gaby le pareció una exageración."
46,good-0,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Mujeres]: ,¡Lo llaman igualdad y no lo es! ¡Lo llaman igualdad y no lo es!
51,good-0,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,Las medidas del gobierno español hicieron que todos nos diéramos cuenta de… de lo grave de la situación.
54,good-0,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"Evidentemente, como cualquier persona más o menos racional, conforme fui conociendo de la gravedad del asunto y que efectivamente no era como una gripe y… y el contagio era exponencial y rapidísimo, mi opinión cambió y… y empezamos a estar en estado de alerta total."
56,good-0,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,Para ese momento yo ya empezaba a tener los primeros síntomas.
60,good-0,https://radioambulante.org/transcripcion/juntos-a-la-distancia-transcripcion,['juntos-a-la-distancia-transcripcion'],España,Spain,[Jaime]: ,"Es uno de los síntomas más claros de… del coronavirus, la fiebre leve. En mi caso era entre 37 y medio, y 38 y medio."
